f1_score,precision_score,recall_score,accuracy_score
0.052631578947368425,0.125,0.03333333333333333,0.9862700228832952
0.6862008514901077,0.7718309859154929,0.6176735798016231,0.7610602593440122
0.5010799136069115,0.6105263157894737,0.4249084249084249,0.9559496567505721
0.47482014388489213,0.5789473684210527,0.4024390243902439,0.9860793287566743
0.42666666666666664,0.6153846153846154,0.32653061224489793,0.9836003051106026
0.5798525798525799,0.7564102564102564,0.4701195219123506,0.967391304347826
0.5401002506265664,0.7054009819967266,0.43756345177664974,0.8600305110602593
0.843400447427293,0.8891509433962265,0.8021276595744681,0.973302822273074
0.3660130718954249,0.5490196078431373,0.27450980392156865,0.9815026697177727
0.1875,0.5,0.11538461538461539,0.9900839054157132
0.7369791666666666,0.8871473354231975,0.6302895322939867,0.9614797864225781
0.7383444338725024,0.8117154811715481,0.6771378708551483,0.9475591151792525
0.1794871794871795,0.4117647058823529,0.11475409836065574,0.9877955758962624
0.19956616052060736,0.4423076923076923,0.12885154061624648,0.9296338672768879
0.3784665579119087,0.6170212765957447,0.27294117647058824,0.9273455377574371
0.42105263157894735,0.6301369863013698,0.3161512027491409,0.9517543859649122
0.4043321299638989,0.6436781609195402,0.29473684210526313,0.9685354691075515
0.21686746987951805,0.45,0.14285714285714285,0.9876048817696415
0.3523316062176166,0.4473684210526316,0.2905982905982906,0.9761632341723875
0.0,0.0,0.0,0.9938977879481312
0.2286324786324786,0.5095238095238095,0.14738292011019283,0.8623188405797102
0.20625000000000002,0.44,0.1346938775510204,0.9515636918382914
0.19318181818181818,0.3953488372093023,0.12781954887218044,0.9458428680396643
0.3863636363636363,0.5930232558139535,0.28651685393258425,0.9691075514874142
0.6371447455386648,0.7736757624398074,0.5415730337078651,0.8953089244851259
0.28703703703703703,0.5961538461538461,0.18902439024390244,0.9706331045003814
0.08888888888888888,0.2222222222222222,0.05555555555555555,0.9843630816170862
0.6514423076923077,0.7720797720797721,0.5634095634095634,0.944698703279939
0.07407407407407407,0.5,0.04,0.9952326468344775
0.5843828715365239,0.7508090614886731,0.47835051546391755,0.937070938215103
0.0,0.0,0.0,0.9937070938215103
0.31999999999999995,0.65,0.21224489795918366,0.9578565980167811
0.6749611197511665,0.7306397306397306,0.6271676300578035,0.9601449275362319
0.7514677103718199,0.8556149732620321,0.6699232379623168,0.8789092295957285
